COUNTRY,COVID_VACCINE_ADM_TOT_A1D,COVID_VACCINE_ADM_TOT_BOOST,COVID_VACCINE_ADM_TOT_CPS,COVID_VACCINE_ADM_TOT_DOSES,COVID_VACCINE_ADM_TOT_DOSES_PER100,COVID_VACCINE_COV_TOT_A1D,COVID_VACCINE_COV_TOT_BOOST,COVID_VACCINE_COV_TOT_CPS,COVID_VACCINE_DATE_INTRO_FIRST,COVID_VACCINE_DATE_REPORT_TOT_LAST,DATE
POL,22911768.000000000,12472574.000000000,22638162.000000000,57827960.000000000,152.000000000,60.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2022-11-27
POL,22934397.000000000,12482281.000000000,22661027.000000000,57953605.000000000,153.000000000,60.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2022-12-25
POL,22947028.000000000,12493675.000000000,22672202.000000000,58042643.000000000,153.000000000,60.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2023-01-29
POL,22951103.000000000,12501956.000000000,22676051.000000000,58074602.000000000,153.000000000,60.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2023-02-26
POL,22967644.000000000,12512249.000000000,22690307.000000000,58132370.000000000,153.000000000,61.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2023-03-26
POL,22981666.000000000,12524616.000000000,22702438.000000000,58189061.000000000,153.000000000,61.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2023-04-30
POL,22983069.000000000,12531636.000000000,22704245.000000000,58216585.000000000,153.000000000,61.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2023-05-28
POL,22983507.000000000,12532530.000000000,22704792.000000000,58226156.000000000,153.000000000,61.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2023-06-25
POL,22983846.000000000,12533274.000000000,22705142.000000000,58230909.000000000,153.000000000,61.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2023-07-30
POL,22984185.000000000,12534018.000000000,22705492.000000000,58235662.000000000,153.000000000,61.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2023-08-27
POL,22984531.000000000,12534523.000000000,22705856.000000000,58240411.000000000,153.000000000,61.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2023-09-24
POL,22984543.000000000,12541005.000000000,22705868.000000000,58247036.000000000,153.000000000,61.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2023-10-29
POL,22984543.000000000,12549623.000000000,22705868.000000000,58255654.000000000,153.000000000,61.000000000,33.000000000,60.000000000,2020-12-23,2023-12-23,2023-11-26
LTU,81016.000000000,,44024.000000000,125040.000000000,4.000000000,3.000000000,,2.000000000,2020-12-23,2023-12-23,2021-01-31
LTU,187308.000000000,,78936.000000000,266244.000000000,10.000000000,7.000000000,,3.000000000,2020-12-23,2023-10-01,2021-02-28
LTU,338055.000000000,,152594.000000000,490649.000000000,18.000000000,12.000000000,,5.000000000,2020-12-23,2023-12-23,2021-03-28
LTU,661719.000000000,,272789.000000000,934508.000000000,33.000000000,24.000000000,,10.000000000,2020-12-23,2023-12-23,2021-04-25
LTU,1000807.000000000,,581971.000000000,1582778.000000000,57.000000000,36.000000000,,21.000000000,2020-12-23,2023-12-23,2021-05-30
LTU,1192836.000000000,,947938.000000000,2161564.000000000,77.000000000,43.000000000,,34.000000000,2020-12-23,2023-12-23,2021-06-27
LTU,1370092.000000000,,1134301.000000000,2504393.000000000,90.000000000,49.000000000,,41.000000000,2020-12-23,2023-12-23,2021-07-25
LTU,1602033.000000000,,1290684.000000000,2892716.000000000,104.000000000,57.000000000,,46.000000000,2020-12-23,2023-12-23,2021-08-29
LTU,1734788.000000000,,1430937.000000000,3166811.000000000,113.000000000,62.000000000,,51.000000000,2020-12-23,2023-12-23,2021-09-26
LTU,1811636.000000000,,1491396.000000000,3386178.000000000,121.000000000,65.000000000,,53.000000000,2020-12-23,2023-12-23,2021-10-31
LTU,1869070.000000000,,1525233.000000000,3689132.000000000,132.000000000,67.000000000,,55.000000000,2020-12-23,2023-12-23,2021-11-28
LTU,1914934.000000000,,1564107.000000000,4094293.000000000,147.000000000,69.000000000,,56.000000000,2020-12-23,2023-12-23,2021-12-26
LTU,1941692.000000000,122508.000000000,1873426.000000000,4401256.000000000,158.000000000,69.000000000,4.000000000,67.000000000,2020-12-23,2023-12-23,2022-01-30
LTU,1945679.000000000,869312.000000000,1892542.000000000,4438011.000000000,159.000000000,70.000000000,31.000000000,68.000000000,2020-12-23,2023-12-23,2022-02-27
LTU,1948035.000000000,879002.000000000,1896408.000000000,4453875.000000000,159.000000000,70.000000000,31.000000000,68.000000000,2020-12-23,2023-12-23,2022-03-27
LTU,1949934.000000000,886460.000000000,1899239.000000000,4466023.000000000,160.000000000,70.000000000,32.000000000,68.000000000,2020-12-23,2023-12-23,2022-04-24
